"Você é cliente vivo?
",Com que frequência voce utiliza o app da vivo?,Qual é a frequência mínima de atualização das informações do saldo e consumo em gigabytes no aplicativo que você considera necessária para garantir uma experiência satisfatória?,Quais dados você mais procura no app da vivo?,"
Você enfrenta problemas de desempenho, como lentidão ou travamentos, ao utilizar o aplicativo?",Como atrasos ou frequências de atualização menos frequentes das informações de consumo impactam sua experiência com o aplicativo?,Qual a sua satisfação com o tempo de resposta das consultas?,Qual serviço voce mais utiliza no app da vivo?,"A presença de dados desatualizados, mas com a opção de atualizá-los por meio de um botão, representaria um problema para você?"
Sim,Raramente,As informações precisam ser em tempo real,Saldo disponível,Às vezes enfrento problemas,Impacto Mínimo,Neutro(a),Comprar mais banda,Não
Sim,Mensalmente,As informações precisam ser em tempo real,Consumo de internet,Às vezes enfrento problemas,Impacto Mínimo,Neutro(a),Ajuda técnica,Não
Sim,Raramente,As informações podem ser atualizadas a cada 5 minutos,Fatura,Frequentemente enfrento problemas,Impacto Mínimo,Neutro(a),Vivo em dia ,Não
Sim,Mensalmente,As informações precisam ser em tempo real,Consumo de internet,Às vezes enfrento problemas,Impacto Mínimo,Satisfeito(a),Comprar mais banda,Não
Sim,Nunca usei,As informações precisam ser em tempo real,Fatura,Nunca enfrento problemas,Impacto Moderado,Neutro(a),Nunca usei,Não
Sim,Raramente,As informações podem ser atualizadas a cada 5 minutos,Consumo de internet,Às vezes enfrento problemas,Impacto Mínimo,Neutro(a),Comprar mais banda,Não
Sim,Mensalmente,As informações podem ser atualizadas a cada 5 minutos,Consumo de internet,Às vezes enfrento problemas,Impacto Mínimo,Satisfeito(a),Ajuda técnica,Não
Sim,Semanalmente,As informações podem ser atualizadas a cada 5 minutos,Consumo de internet,Às vezes enfrento problemas,Impacto Mínimo,Satisfeito(a),Recarga,Não
Não,Nunca usei,As informações precisam ser em tempo real,Consumo de internet,Nunca enfrento problemas,Impacto Moderado,Neutro(a),Marketplace,Não
Sim,Raramente,As informações precisam ser em tempo real,Consumo de internet,Às vezes enfrento problemas,Impacto Mínimo,Neutro(a),Ajuda técnica,Não
Sim,Semanalmente,As informações podem ser atualizadas a cada 5 minutos,Consumo de internet,Às vezes enfrento problemas,Impacto Significativo,Neutro(a),Ajuda técnica,Não
Sim,Diariamente,As informações podem ser atualizadas a cada 1 hora,Fatura,Às vezes enfrento problemas,Impacto Moderado,Neutro(a),Ajuda técnica,Não
Sim,Diariamente,As informações podem ser atualizadas a cada 5 minutos,Consumo de internet,Às vezes enfrento problemas,Impacto Moderado,Neutro(a),Comprar mais banda,Não
Não,Nunca usei,As informações precisam ser em tempo real,. ,Sempre enfrento problemas,Sem Impacto,Neutro(a),.,Não
Sim,Semanalmente,As informações precisam ser em tempo real,Vivo Valoriza,Nunca enfrento problemas,Impacto Mínimo,Satisfeito(a),Marketplace,Não
Sim,Raramente,As informações precisam ser em tempo real,Consumo de internet,Às vezes enfrento problemas,Impacto Moderado,Neutro(a),Comprar mais banda,Não
Não,Nunca usei,As informações podem ser atualizadas a cada 30 minutos,Consumo de internet,Nunca enfrento problemas,Sem Impacto,Neutro(a),Ajuda técnica,Não
Não,Nunca usei,As informações podem ser atualizadas a cada 5 minutos,Consumo de internet,Nunca enfrento problemas,Sem Impacto,Neutro(a),Não tenho o app,Sim
Sim,Nunca usei,As informações precisam ser em tempo real,Consumo de internet,Sempre enfrento problemas,Impacto Significativo,Muito Insatisfeito(a),Ajuda técnica,Sim
Sim,Mensalmente,As informações precisam ser em tempo real,Fatura,Frequentemente enfrento problemas,Impacto Moderado,Neutro(a),Comprar mais banda,Não
Sim,Raramente,As informações precisam ser em tempo real,Consumo de internet,Frequentemente enfrento problemas,Impacto Moderado,Neutro(a),Ajuda técnica,Sim
Sim,Diariamente,As informações podem ser atualizadas a cada 30 minutos,Consumo de internet,Às vezes enfrento problemas,Sem Impacto,Neutro(a),Comprar mais banda,Sim
Sim,Raramente,As informações podem ser atualizadas a cada 30 minutos,Fatura,Às vezes enfrento problemas,Impacto Mínimo,Neutro(a),Fatura,Sim
